Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote
Democratic People's Republic of Korea,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Democratic Republic of the Congo,300 000 ,240 000 , 360 000,,330 000 ,260 000 , 390 000,,360 000 ,290 000 , 430 000,,390 000 ,320 000 , 460 000,,420 000 ,350 000 , 500 000,,450 000 ,370 000 , 530 000,,480 000 ,390 000 , 550 000,,500 000 ,410 000 , 570 000,,510 000 ,420 000 , 590 000,,530 000 ,430 000 , 600 000,,540 000 ,440 000 , 620 000,,540 000 ,450 000 , 620 000,,540 000 ,450 000 , 630 000,,540 000 ,450 000 , 620 000,,530 000 ,440 000 , 620 000,,520 000 ,430 000 , 610 000,,510 000 ,420 000 , 590 000,,500 000 ,410 000 , 580 000,,480 000 ,390 000 , 560 000,,460 000 ,380 000 , 550 000,,450 000 ,360 000 , 530 000,,430 000 ,340 000 , 510 000,,420 000 ,330 000 , 490 000,,400 000 ,320 000 , 480 000,,390 000 ,310 000 , 470 000,,380 000 ,300 000 , 460 000,,370 000 ,290 000 , 450 000,
Denmark,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Djibouti,<500 ,<100 , 1100,,<1000 ,<200 , 1900,,1400 ,<500 , 2900,,2100 ,<1000 , 4300,,3100 ,1100 , 5900,,4400 ,1800 , 7600,,5800 ,2800 , 9300,,7200 ,4100 , 11 000,,8700 ,5500 , 12 000,,10 000 ,6700 , 14 000,,11 000 ,7900 , 15 000,,12 000 ,8800 , 16 000,,12 000 ,9100 , 16 000,,12 000 ,9100 , 17 000,,12 000 ,8900 , 17 000,,12 000 ,8500 , 17 000,,12 000 ,7900 , 16 000,,11 000 ,7400 , 16 000,,11 000 ,7000 , 15 000,,10 000 ,6700 , 15 000,,10 000 ,6400 , 14 000,,9600 ,6200 , 14 000,,9300 ,6100 , 13 000,,9100 ,6000 , 13 000,,8900 ,5900 , 13 000,,8700 ,5700 , 13 000,,8600 ,5700 , 13 000,
Dominican Republic,23 000 ,16 000 , 31 000,,33 000 ,23 000 , 45 000,,45 000 ,32 000 , 60 000,,57 000 ,41 000 , 77 000,,69 000 ,50 000 , 93 000,,81 000 ,59 000 , 110 000,,91 000 ,67 000 , 120 000,,99 000 ,73 000 , 130 000,,100 000 ,77 000 , 140 000,,110 000 ,81 000 , 140 000,,110 000 ,81 000 , 150 000,,110 000 ,81 000 , 140 000,,110 000 ,79 000 , 140 000,,100 000 ,76 000 , 140 000,,98 000 ,72 000 , 130 000,,94 000 ,67 000 , 130 000,,89 000 ,64 000 , 120 000,,85 000 ,60 000 , 120 000,,82 000 ,58 000 , 110 000,,79 000 ,56 000 , 110 000,,76 000 ,55 000 , 110 000,,74 000 ,54 000 , 100 000,,72 000 ,53 000 , 98 000,,70 000 ,52 000 , 97 000,,69 000 ,52 000 , 94 000,,68 000 ,52 000 , 92 000,,67 000 ,51 000 , 91 000,
Ecuador,6600 ,3000 , 14 000,"Historical incidence trends were not available or not reliable.",8600 ,3900 , 15 000,"Historical incidence trends were not available or not reliable.",11 000 ,4700 , 16 000,"Historical incidence trends were not available or not reliable.",13 000 ,6000 , 19 000,"Historical incidence trends were not available or not reliable.",15 000 ,7500 , 21 000,"Historical incidence trends were not available or not reliable.",17 000 ,8800 , 23 000,"Historical incidence trends were not available or not reliable.",18 000 ,10 000 , 24 000,"Historical incidence trends were not available or not reliable.",20 000 ,12 000 , 26 000,"Historical incidence trends were not available or not reliable.",21 000 ,14 000 , 28 000,"Historical incidence trends were not available or not reliable.",21 000 ,15 000 , 28 000,"Historical incidence trends were not available or not reliable.",21 000 ,16 000 , 28 000,"Historical incidence trends were not available or not reliable.",21 000 ,16 000 , 28 000,"Historical incidence trends were not available or not reliable.",22 000 ,17 000 , 28 000,"Historical incidence trends were not available or not reliable.",22 000 ,16 000 , 28 000,"Historical incidence trends were not available or not reliable.",22 000 ,17 000 , 28 000,"Historical incidence trends were not available or not reliable.",22 000 ,17 000 , 28 000,"Historical incidence trends were not available or not reliable.",23 000 ,17 000 , 29 000,"Historical incidence trends were not available or not reliable.",23 000 ,18 000 , 30 000,"Historical incidence trends were not available or not reliable.",24 000 ,18 000 , 31 000,"Historical incidence trends were not available or not reliable.",25 000 ,19 000 , 32 000,"Historical incidence trends were not available or not reliable.",26 000 ,20 000 , 33 000,"Historical incidence trends were not available or not reliable.",27 000 ,20 000 , 34 000,"Historical incidence trends were not available or not reliable.",28 000 ,21 000 , 36 000,"Historical incidence trends were not available or not reliable.",29 000 ,22 000 , 37 000,"Historical incidence trends were not available or not reliable.",30 000 ,23 000 , 38 000,"Historical incidence trends were not available or not reliable.",31 000 ,23 000 , 40 000,"Historical incidence trends were not available or not reliable.",33 000 ,24 000 , 41 000,"Historical incidence trends were not available or not reliable."
Egypt,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,1100 ,<1000 , 1200,,1200 ,1100 , 1300,,1300 ,1200 , 1500,,1500 ,1300 , 1600,,1600 ,1500 , 1800,,1800 ,1600 , 2000,,2000 ,1800 , 2200,,2300 ,2000 , 2500,,2500 ,2300 , 2800,,2800 ,2500 , 3100,,3100 ,2800 , 3400,,3500 ,3100 , 3800,,3900 ,3500 , 4200,,4300 ,3900 , 4800,,4800 ,4400 , 5300,,5400 ,4900 , 5900,,6000 ,5500 , 6600,,6700 ,6100 , 7300,,7500 ,6800 , 8200,,8300 ,7500 , 9100,,9200 ,8400 , 10 000,,10 000 ,9300 , 11 000,,11 000 ,10 000 , 12 000,
El Salvador,7600 ,6900 , 8300,,8800 ,8000 , 9700,,10 000 ,9100 , 11 000,,11 000 ,10 000 , 13 000,,13 000 ,11 000 , 14 000,,14 000 ,13 000 , 15 000,,15 000 ,14 000 , 17 000,,16 000 ,15 000 , 18 000,,17 000 ,16 000 , 19 000,,18 000 ,16 000 , 20 000,,19 000 ,17 000 , 21 000,,19 000 ,17 000 , 22 000,,20 000 ,18 000 , 22 000,,20 000 ,18 000 , 23 000,,21 000 ,18 000 , 23 000,,21 000 ,19 000 , 24 000,,21 000 ,19 000 , 24 000,,22 000 ,19 000 , 24 000,,22 000 ,20 000 , 25 000,,22 000 ,20 000 , 25 000,,23 000 ,21 000 , 26 000,,23 000 ,21 000 , 26 000,,24 000 ,21 000 , 26 000,,24 000 ,22 000 , 26 000,,24 000 ,22 000 , 27 000,,24 000 ,22 000 , 26 000,,24 000 ,22 000 , 26 000,
Equatorial Guinea,4600 ,1900 , 10 000,,5000 ,2400 , 9900,,5400 ,2800 , 9900,,5900 ,3300 , 9800,,6300 ,3800 , 10 000,,6800 ,4300 , 10 000,,7400 ,4900 , 11 000,,8100 ,5600 , 11 000,,9000 ,6400 , 12 000,,9900 ,7300 , 13 000,,11 000 ,8400 , 14 000,,12 000 ,9500 , 15 000,,14 000 ,11 000 , 17 000,,15 000 ,12 000 , 19 000,,17 000 ,13 000 , 20 000,,18 000 ,14 000 , 22 000,,20 000 ,16 000 , 24 000,,21 000 ,18 000 , 25 000,,23 000 ,19 000 , 27 000,,25 000 ,21 000 , 29 000,,26 000 ,23 000 , 30 000,,28 000 ,24 000 , 32 000,,29 000 ,25 000 , 34 000,,31 000 ,26 000 , 37 000,,32 000 ,26 000 , 39 000,,34 000 ,27 000 , 42 000,,35 000 ,28 000 , 45 000,
Eritrea,2400 ,<1000 , 6400,,3700 ,1500 , 8800,,5400 ,2500 , 11 000,,7300 ,3900 , 12 000,,9200 ,5600 , 14 000,,11 000 ,7400 , 16 000,,13 000 ,9100 , 18 000,,15 000 ,11 000 , 20 000,,17 000 ,12 000 , 21 000,,18 000 ,14 000 , 23 000,,20 000 ,15 000 , 24 000,,21 000 ,16 000 , 26 000,,21 000 ,16 000 , 27 000,,22 000 ,16 000 , 28 000,,21 000 ,16 000 , 28 000,,21 000 ,15 000 , 27 000,,20 000 ,14 000 , 26 000,,19 000 ,13 000 , 25 000,,18 000 ,13 000 , 24 000,,17 000 ,12 000 , 23 000,,17 000 ,12 000 , 23 000,,16 000 ,11 000 , 22 000,,16 000 ,11 000 , 21 000,,15 000 ,11 000 , 21 000,,15 000 ,11 000 , 21 000,,15 000 ,11 000 , 21 000,,15 000 ,10 000 , 21 000,
Estonia,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Ethiopia,340 000 ,240 000 , 480 000,,440 000 ,320 000 , 610 000,,550 000 ,420 000 , 750 000,,670 000 ,520 000 , 890 000,,790 000 ,620 000 , 1 000 000,,910 000 ,720 000 , 1 200 000,,1 000 000 ,810 000 , 1 300 000,,1 100 000 ,880 000 , 1 300 000,,1 100 000 ,930 000 , 1 400 000,,1 100 000 ,950 000 , 1 400 000,,1 100 000 ,960 000 , 1 400 000,,1 100 000 ,940 000 , 1 300 000,,1 100 000 ,900 000 , 1 300 000,,1 000 000 ,850 000 , 1 300 000,,980 000 ,790 000 , 1 200 000,,920 000 ,730 000 , 1 100 000,,860 000 ,670 000 , 1 100 000,,810 000 ,630 000 , 1 000 000,,770 000 ,590 000 , 970 000,,740 000 ,570 000 , 940 000,,720 000 ,560 000 , 910 000,,710 000 ,550 000 , 890 000,,700 000 ,560 000 , 870 000,,700 000 ,560 000 , 870 000,,700 000 ,560 000 , 870 000,,710 000 ,560 000 , 870 000,,710 000 ,570 000 , 880 000,
Fiji,<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <200,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <200,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <200,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<200 ,<100 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<200 ,<100 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <1000,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <1000,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<1000 ,<500 , <1000,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<1000 ,<500 , <1000,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<1000 ,<500 , <1000,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<1000 ,<1000 , 1000,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers."
Finland,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
France,77 000 ,71 000 , 85 000,"Historical incidence trends were not available or not reliable before 2000.",79 000 ,71 000 , 88 000,"Historical incidence trends were not available or not reliable before 2000.",81 000 ,71 000 , 91 000,"Historical incidence trends were not available or not reliable before 2000.",82 000 ,71 000 , 94 000,"Historical incidence trends were not available or not reliable before 2000.",82 000 ,71 000 , 95 000,"Historical incidence trends were not available or not reliable before 2000.",83 000 ,71 000 , 95 000,"Historical incidence trends were not available or not reliable before 2000.",85 000 ,74 000 , 98 000,"Historical incidence trends were not available or not reliable before 2000.",88 000 ,77 000 , 100 000,"Historical incidence trends were not available or not reliable before 2000.",92 000 ,80 000 , 110 000,"Historical incidence trends were not available or not reliable before 2000.",96 000 ,85 000 , 110 000,"Historical incidence trends were not available or not reliable before 2000.",100 000 ,89 000 , 110 000,"Historical incidence trends were not available or not reliable before 2000.",110 000 ,94 000 , 120 000,"Historical incidence trends were not available or not reliable before 2000.",110 000 ,99 000 , 120 000,"Historical incidence trends were not available or not reliable before 2000.",120 000 ,100 000 , 130 000,"Historical incidence trends were not available or not reliable before 2000.",120 000 ,110 000 , 140 000,"Historical incidence trends were not available or not reliable before 2000.",130 000 ,110 000 , 140 000,"Historical incidence trends were not available or not reliable before 2000.",130 000 ,120 000 , 150 000,"Historical incidence trends were not available or not reliable before 2000.",140 000 ,120 000 , 150 000,"Historical incidence trends were not available or not reliable before 2000.",140 000 ,130 000 , 160 000,"Historical incidence trends were not available or not reliable before 2000.",150 000 ,130 000 , 160 000,"Historical incidence trends were not available or not reliable before 2000.",150 000 ,140 000 , 170 000,"Historical incidence trends were not available or not reliable before 2000.",160 000 ,140 000 , 170 000,"Historical incidence trends were not available or not reliable before 2000.",160 000 ,150 000 , 180 000,"Historical incidence trends were not available or not reliable before 2000.",170 000 ,150 000 , 180 000,"Historical incidence trends were not available or not reliable before 2000.",170 000 ,160 000 , 190 000,"Historical incidence trends were not available or not reliable before 2000.",180 000 ,160 000 , 190 000,"Historical incidence trends were not available or not reliable before 2000.",180 000 ,170 000 , 200 000,"Historical incidence trends were not available or not reliable before 2000."
Gabon,6500 ,4900 , 9100,,8900 ,6700 , 12 000,,12 000 ,8900 , 16 000,,15 000 ,12 000 , 20 000,,20 000 ,15 000 , 26 000,,24 000 ,19 000 , 32 000,,29 000 ,23 000 , 38 000,,34 000 ,27 000 , 44 000,,39 000 ,31 000 , 50 000,,43 000 ,35 000 , 55 000,,47 000 ,38 000 , 59 000,,49 000 ,40 000 , 62 000,,51 000 ,42 000 , 64 000,,52 000 ,42 000 , 65 000,,53 000 ,43 000 , 66 000,,53 000 ,43 000 , 65 000,,53 000 ,43 000 , 64 000,,52 000 ,43 000 , 63 000,,51 000 ,42 000 , 61 000,,51 000 ,42 000 , 60 000,,50 000 ,42 000 , 59 000,,49 000 ,41 000 , 58 000,,49 000 ,40 000 , 57 000,,48 000 ,39 000 , 57 000,,48 000 ,39 000 , 58 000,,48 000 ,38 000 , 58 000,,48 000 ,38 000 , 59 000,
Gambia,<500 ,<500 , <1000,,<1000 ,<500 , 1100,,1000 ,<1000 , 1500,,1400 ,1000 , 2000,,2000 ,1500 , 2700,,2800 ,2000 , 3700,,3700 ,2800 , 5000,,4900 ,3600 , 6500,,6200 ,4700 , 8100,,7600 ,5800 , 9800,,9100 ,7100 , 12 000,,11 000 ,8300 , 14 000,,12 000 ,9600 , 15 000,,14 000 ,11 000 , 17 000,,15 000 ,12 000 , 18 000,,16 000 ,13 000 , 20 000,,17 000 ,14 000 , 21 000,,18 000 ,15 000 , 22 000,,19 000 ,15 000 , 22 000,,19 000 ,16 000 , 23 000,,20 000 ,16 000 , 23 000,,20 000 ,16 000 , 23 000,,20 000 ,17 000 , 24 000,,20 000 ,17 000 , 24 000,,20 000 ,17 000 , 24 000,,21 000 ,17 000 , 24 000,,20 000 ,17 000 , 24 000,
Georgia,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1300,,1100 ,<1000 , 1500,,1200 ,1000 , 1600,,1400 ,1100 , 1800,,1500 ,1300 , 2100,,1700 ,1400 , 2300,,2000 ,1600 , 2600,,2200 ,1800 , 2900,,2500 ,2000 , 3300,,2800 ,2200 , 3700,,3200 ,2500 , 4100,,3600 ,2900 , 4600,,4100 ,3200 , 5300,,4600 ,3700 , 5900,,5200 ,4100 , 6700,,5800 ,4600 , 7600,,6500 ,5100 , 8400,,7200 ,5700 , 9300,,7900 ,6300 , 10 000,,8700 ,6900 , 11 000,,9400 ,7400 , 12 000,,10 000 ,7900 , 13 000,,11 000 ,8400 , 14 000,,12 000 ,8800 , 14 000,
Germany,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Ghana,110 000 ,62 000 , 190 000,,160 000 ,95 000 , 250 000,,210 000 ,140 000 , 310 000,,270 000 ,190 000 , 370 000,,330 000 ,240 000 , 420 000,,370 000 ,290 000 , 460 000,,410 000 ,340 000 , 490 000,,430 000 ,360 000 , 510 000,,450 000 ,380 000 , 520 000,,450 000 ,390 000 , 530 000,,450 000 ,390 000 , 520 000,,440 000 ,380 000 , 510 000,,430 000 ,360 000 , 500 000,,410 000 ,350 000 , 480 000,,400 000 ,330 000 , 470 000,,380 000 ,310 000 , 450 000,,360 000 ,290 000 , 430 000,,340 000 ,280 000 , 410 000,,330 000 ,260 000 , 400 000,,310 000 ,250 000 , 380 000,,300 000 ,240 000 , 370 000,,290 000 ,240 000 , 360 000,,290 000 ,240 000 , 350 000,,290 000 ,240 000 , 350 000,,290 000 ,240 000 , 350 000,,290 000 ,240 000 , 350 000,,290 000 ,240 000 , 360 000,
Greece,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
